File;Sample;Sample ID;Parameter, Goal;Value;ESD
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Qsmectitedi2wfix;0,087;0,015
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QCalcite;0,2145;0,0099
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QChlorite;0,1685;0,0074
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QMagnetite;0,3097;0,0084
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QAndradite;0,0516;0,003
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;QTalc;0,169;0,0065
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Rwp;2.4900;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Rexp;1.9200;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;Chi2;1.6819;
D:/Desktop/U/Tesis/Muestras/Datos/raw/Mgt/t50/Mgt_t50.lst;Mgt_t50;Mgt_t50;GOF;1.2969;
